urdu,roman_urdu
اس کے ساتھ بیٹھو، وہ ابھی آیا ہے یہاں,"iss ke sath baitho, woh abhi aaya hai yahan"
اس کے ساتھ پہلے بھی سفر کیا تھا کئی سال پہلے,uss ke sath pehle bhi safar kiya tha kayi saal pehle
اس کے ساتھ کام کرو، یہ ٹیم ابھی بنی ہے,"iss ke sath kaam karo, yeh team abhi bani hai"
اس کے ساتھ کبھی جھگڑا ہوا تھا برسوں پہلے,uss ke sath kabhi jhagra hua tha barson pehle
اس کے بعد چلو، یہ کام ابھی ختم ہوا ہے,"iss ke baad chalo, yeh kaam abhi khatam hua hai"
اس کے بعد سب کچھ بدل گیا تھا جنگ ختم ہونے پر,uss ke baad sab kuch badal gaya tha jang khatam honay par
اس کے بعد فوراً نکلو، یہ میٹنگ ابھی شروع ہوئی ہے,"iss ke baad foran niklo, yeh meeting abhi shuru hui hai"
اس کے بعد علاقے میں امن آیا تھا کئی سال پہلے,uss ke baad ilaqay mein aman aaya tha kayi saal pehle
اس کے باوجود رک جاؤ، یہ کام ابھی ادھورا ہے,"iss ke bawajood ruk jao, yeh kaam abhi adhoora hai"
اس کے باوجود نتیجہ خراب رہا تھا برسوں تک,uss ke bawajood nateeja kharab raha tha barson tak
اس کے باوجود وہ خوش ہے، ابھی یہاں موجود ہے,"iss ke bawajood woh khush hai, abhi yahan mojood hai"
اس کے باوجود لوگ ناراض رہے تھے کئی سالوں تک,uss ke bawajood log naraz rahay thay kayi saalon tak
اس وقت خاموش رہو، ابھی استاد بول رہا ہے,"iss waqt khamosh raho, abhi ustad bol raha hai"
اس وقت بہت شور تھا جب حادثہ پیش آیا تھا,uss waqt bohat shor tha jab hadsa pesh aaya tha
اس جگہ پر کھڑے رہو، یہاں نشان لگا ہے,"iss jagah par kharay raho, yahan nishan laga hai"
اس جگہ پر کبھی ایک قلعہ تھا صدیوں پہلے,uss jagah par kabhi aik qila tha sadiyon pehle
اس راستے سے جاؤ، یہ سامنے کھلا ہے,"iss rastay se jao, yeh samne khula hai"
اس راستے سے کبھی قافلے گزرا کرتے تھے,uss rastay se kabhi qafilay guzra karte thay
اس کہانی کو سنو، ابھی لکھی ہے میں نے,"iss kahani ko suno, abhi likhi hai main ne"
اس کہانی کو بچپن میں سنا تھا دادی سے,uss kahani ko bachpan mein suna tha dadi se
اس خبر پر یقین کرو، ابھی ٹی وی پر آئی ہے,"iss khabar par yaqeen karo, abhi TV par aai hai"
اس خبر پر یقین نہیں ہوا تھا جب پہلی بار سنی تھی,uss khabar par yaqeen nahi hua tha jab pehli bar suni thi
اس وعدے کو نبھاؤ، ابھی کیا ہے میں نے,"iss waaday ko nibhao, abhi kiya hai main ne"
اس وعدے کو وہ بھول گیا تھا جو برسوں پہلے کیا تھا,uss waaday ko woh bhool gaya tha jo barson pehle kiya tha
اس فیصلے کو مانو، ابھی سنایا ہے جج نے,"iss faislay ko mano, abhi sunaya hai judge ne"
اس فیصلے کو سب نے رد کر دیا تھا برسوں پہلے,uss faislay ko sab ne radd kar diya tha barson pehle
اس سوال کا جواب دو، ابھی پوچھا ہے استاد نے,"iss sawal ka jawab do, abhi poocha hai ustad ne"
اس سوال کا جواب کسی کو نہیں ملا تھا برسوں تک,uss sawal ka jawab kisi ko nahi mila tha barson tak
اس مسئلے کا حل تلاش کرو، ابھی سامنے آیا ہے,"iss masle ka hal talash karo, abhi samne aaya hai"
اس مسئلے کا حل کبھی نہیں نکلا تھا برسوں سے,uss masle ka hal kabhi nahi nikla tha barson se
اس منصوبے پر کام کرو، ابھی پیش کیا گیا ہے,"iss mansoobay par kaam karo, abhi pesh kiya gaya hai"
اس منصوبے پر کام برسوں پہلے روک دیا گیا تھا,uss mansoobay par kaam barson pehle rok diya gaya tha
اس کیس کی تفتیش کرو، ابھی درج ہوا ہے,"iss case ki tafteesh karo, abhi darj hua hai"
اس کیس کی تفتیش پچھلے سال بند کر دی گئی تھی,uss case ki tafteesh pichlay saal band kar di gayi thi
اس قانون پر عمل کرو، ابھی نافذ ہوا ہے,"iss qanoon par amal karo, abhi nafiz hua hai"
اس قانون پر عمل کئی سال پہلے ختم کر دیا گیا تھا,uss qanoon par amal kayi saal pehle khatam kar diya gaya tha
اس معاہدے پر دستخط کرو، ابھی تیار ہوا ہے,"iss muahiday par dastakhat karo, abhi tayyar hua hai"
اس معاہدے پر دستخط دس سال پہلے ہوئے تھے,uss muahiday par dastakhat das saal pehle hue thay
اس بیماری کا علاج کراؤ، ابھی تشخیص ہوئی ہے,"iss bimari ka ilaj karao, abhi tashkhees hui hai"
اس بیماری کا علاج کئی سال پہلے ناممکن سمجھا جاتا تھا,uss bimari ka ilaj kayi saal pehle namumkin samjha jata tha
اس مشین کو چلاؤ، ابھی لگائی گئی ہے فیکٹری میں,"iss machine ko chalao, abhi lagai gayi hai factory mein"
اس مشین کو پچھلے سال ہٹا دیا گیا تھا فیکٹری سے,uss machine ko pichlay saal hata diya gaya tha factory se
اس عمارت کو دیکھو، ابھی تعمیر ہوئی ہے سامنے,"iss imarat ko dekho, abhi tameer hui hai samne"
اس عمارت کو برسوں پہلے گرا دیا گیا تھا,uss imarat ko barson pehle gira diya gaya tha
اس پل کو پار کرو، ابھی کھلا ہے ٹریفک کے لیے,"iss pul ko paar karo, abhi khula hai traffic ke liye"
اس پل کو کئی سال پہلے بند کر دیا گیا تھا,uss pul ko kayi saal pehle band kar diya gaya tha
اس باغ میں جاؤ، ابھی پھول کھلے ہیں,"iss bagh mein jao, abhi phool khilay hain"
اس باغ میں کبھی میلے لگا کرتے تھے بچپن میں,uss bagh mein kabhi mela laga karte thay bachpan mein
اس مارکیٹ میں خریداری کرو، ابھی کھلی ہے,"iss market mein khareedari karo, abhi khuli hai"
اس مارکیٹ میں آگ لگی تھی کئی سال پہلے,uss market mein aag lagi thi kayi saal pehle
اس اسکول میں داخلہ لو، ابھی نیا کھلا ہے,"iss school mein dakhla lo, abhi naya khula hai"
اس اسکول میں ہم پڑھا کرتے تھے بچپن میں,uss school mein hum parha karte thay bachpan mein
اس ہسپتال میں علاج کراؤ، ابھی قریب ہے یہاں سے,"iss hospital mein ilaj karao, abhi qareeb hai yahan se"
اس ہسپتال میں دادا کا علاج ہوا تھا برسوں پہلے,uss hospital mein dada ka ilaj hua tha barson pehle
اس مسجد میں نماز پڑھو، ابھی اذان ہوئی ہے,"iss masjid mein namaz parho, abhi azan hui hai"
اس مسجد میں صدیوں پہلے بادشاہ نے نماز پڑھی تھی,uss masjid mein sadiyon pehle badshah ne namaz parhi thi
اس دفتر میں جاؤ، ابھی میٹنگ شروع ہوئی ہے,"iss daftar mein jao, abhi meeting shuru hui hai"
اس دفتر میں کبھی میں کام کیا کرتا تھا,uss daftar mein kabhi main kaam kiya karta tha
اس ٹرین میں سوار ہو جاؤ، ابھی پلیٹ فارم پر کھڑی ہے,"iss train mein sawar ho jao, abhi platform par khari hai"
اس ٹرین میں سفر کیا تھا کئی سال پہلے گاؤں جاتے ہوئے,uss train mein safar kiya tha kayi saal pehle gaon jatay hue
اس کشتی پر سوار ہو، ابھی ساحل پر کھڑی ہے,"iss kashti par sawar ho, abhi sahil par khari hai"
اس کشتی پر کبھی طوفان آیا تھا برسوں پہلے,uss kashti par kabhi toofan aaya tha barson pehle
اس جزیرے پر جاؤ، ابھی کشتی تیار ہے یہاں,"iss jazeeray par jao, abhi kashti tayyar hai yahan"
اس جزیرے پر کبھی قدیم تہذیب آباد تھی صدیوں پہلے,uss jazeeray par kabhi qadeem tahzeeb abaad thi sadiyon pehle
اس پہاڑ پر چڑھو، ابھی راستہ صاف ہے سامنے,"iss pahar par charho, abhi rasta saaf hai samne"
اس پہاڑ پر کبھی ایک قافلہ پھنس گیا تھا برف میں,uss pahar par kabhi aik qafila phans gaya tha baraf mein
اس ندی کو پار کرو، ابھی پانی کم ہے,"iss nadi ko paar karo, abhi pani kam hai"
اس ندی میں کبھی بہت سیلاب آیا تھا برسوں پہلے,uss nadi mein kabhi bohat sailab aaya tha barson pehle
اس جنگل میں مت جاؤ، ابھی خطرناک ہے یہاں سے,"iss jungle mein mat jao, abhi khatarnak hai yahan se"
اس جنگل میں کبھی شیر آزاد گھوما کرتے تھے,uss jungle mein kabhi sher azad ghuma karte thay
اس صحرا میں سفر کرو، ابھی موسم ٹھیک ہے,"iss sehra mein safar karo, abhi mausam theek hai"
اس صحرا میں کبھی قافلے راستہ بھٹک جاتے تھے,uss sehra mein kabhi qafilay rasta bhatak jatay thay
اس قلعے کو دیکھو، ابھی روشن کیا گیا ہے رات کو,"iss qilay ko dekho, abhi roshan kiya gaya hai raat ko"
اس قلعے میں صدیوں پہلے بادشاہ رہا کرتے تھے,uss qilay mein sadiyon pehle badshah raha karte thay
اس وعدے کے بارے میں سوچو، ابھی کیا ہے میں نے,"iss waaday ke baray mein socho, abhi kiya hai main ne"
اس وعدے کے بارے میں بات ہوئی تھی برسوں پہلے گھر میں,uss waaday ke baray mein baat hui thi barson pehle ghar mein
اس خط کا جواب کبھی نہیں ملا تھا برسوں تک,uss khat ka jawab kabhi nahi mila tha barson tak
اس گانے کو سنو، ابھی ریلیز ہوا ہے,"iss ganay ko suno, abhi release hua hai"
اس گانے کو بچپن میں بہت سنا کرتے تھے ہم,uss ganay ko bachpan mein bohat suna karte thay hum
اس فلم کو دیکھو، ابھی سینما میں لگی ہے,"iss film ko dekho, abhi cinema mein lagi hai"
اس فلم کو دس سال پہلے دیکھا تھا میں نے,uss film ko das saal pehle dekha tha main ne
اس کھیل کو کھیلو، ابھی شروع ہوا ہے میدان میں,"iss khel ko khelo, abhi shuru hua hai medan mein"
اس کھیل کو برسوں پہلے بہت پسند کیا جاتا تھا,uss khel ko barson pehle bohat pasand kiya jata tha
اس کلینک میں چیک اپ کراؤ، ابھی ڈاکٹر موجود ہے,"iss clinic mein checkup karao, abhi doctor mojood hai"
اس کلینک میں علاج کرایا تھا دادی نے برسوں پہلے,uss clinic mein ilaj karaya tha dadi ne barson pehle
اس بینک سے رقم نکالو، ابھی کھلا ہے سامنے,"iss bank se raqam nikalo, abhi khula hai samne"
اس بینک سے قرض لیا تھا برسوں پہلے والد نے,uss bank se qarz liya tha barson pehle walid ne
اس کمپنی میں نوکری کرو، ابھی نئی کھلی ہے,"iss company mein naukri karo, abhi nai khuli hai"
اس کمپنی میں کبھی والد کام کیا کرتے تھے,uss company mein kabhi walid kaam kiya karte thay
اس فیکٹری میں آگ لگی تھی برسوں پہلے,uss factory mein aag lagi thi barson pehle
اس میلے میں کبھی بہت رش ہوا کرتا تھا برسوں پہلے,uss melay mein kabhi bohat rush hua karta tha barson pehle
اس شادی میں شرکت کرو، ابھی دعوت آئی ہے,"iss shaadi mein shirkat karo, abhi dawat aai hai"
اس شادی میں کئی سال پہلے بہت رونق تھی,uss shaadi mein kayi saal pehle bohat raunaq thi
اس تقریب میں برسوں پہلے بڑے لوگ آیا کرتے تھے,uss taqreeb mein barson pehle baray log aaya karte thay
اس کانفرنس میں شامل ہو، ابھی شروع ہوئی ہے,"iss conference mein shamil ho, abhi shuru hui hai"
اس کانفرنس میں کئی سال پہلے بڑا فیصلہ ہوا تھا,uss conference mein kayi saal pehle bara faisla hua tha
اس کپ میں چائے ڈالو، ابھی بنائی ہے,"iss cup mein chai dalo, abhi banai hai"
اس کپ میں چائے ٹھنڈی ہو گئی تھی جو صبح بنائی تھی,uss cup mein chai thandi ho gayi thi jo subah banai thi
اس برتن کو دھو لو، ابھی استعمال ہوا ہے,"iss bartan ko dho lo, abhi istemal hua hai"
اس برتن کو نانی نے شادی میں استعمال کیا تھا,uss bartan ko nani ne shaadi mein istemal kiya tha
اس کمبل کو اوڑھ لو، یہاں سردی بہت ہے,"iss kambal ko orh lo, yahan sardi bohat hai"
اس کمبل کو ماضی میں دادی نے بنایا تھا,uss kambal ko mazi mein dadi ne banaya tha
اس تکیے پر سر رکھو، ابھی صاف کیا ہے,"iss takiye par sar rakho, abhi saaf kiya hai"
اس تکیے پر کبھی دادا سویا کرتے تھے,uss takiye par kabhi dada soya karte thay
اس گھڑی کو دیکھو، ابھی خریدی ہے یہاں سے,"iss ghari ko dekho, abhi khareedi hai yahan se"
اس گھڑی کو والد نے کئی سال پہلے تحفے میں دیا تھا,uss ghari ko walid ne kayi saal pehle tohfay mein diya tha
اس انگوٹھی کو پہن لو، ابھی بنوائی ہے,"iss angoothi ko pehan lo, abhi banwai hai"
اس انگوٹھی کو نانی نے اپنی شادی میں پہنا تھا,uss angoothi ko nani ne apni shaadi mein pehna tha
اس پرس میں پیسے رکھو، ابھی نیا خریدا ہے,"iss purse mein paisay rakho, abhi naya khareeda hai"
اس پرس میں پرانے نوٹ پڑے تھے کئی سال سے,uss purse mein puranay note paray thay kayi saal se
اس عینک کو پہنو، ابھی بنوائی ہے ڈاکٹر سے,"iss ainak ko pehno, abhi banwai hai doctor se"
اس عینک کو دادا برسوں سے استعمال کر رہے تھے,uss ainak ko dada barson se istemal kar rahay thay
اس ٹوپی کو سر پر رکھو، ابھی سلائی ہوئی ہے,"iss topi ko sar par rakho, abhi silai hui hai"
اس ٹوپی کو نانا اپنی جوانی میں پہنا کرتے تھے,uss topi ko nana apni jawani mein pehna karte thay
اس جیکٹ کو پہن لو، یہاں ٹھنڈ ہے,"iss jacket ko pehan lo, yahan thand hai"
اس جیکٹ کو پچھلی سردیوں میں خریدا تھا,uss jacket ko pichli sardiyon mein khareeda tha
اس کتے کو کھانا دو، ابھی بھوکا لگ رہا ہے,"iss kuttay ko khana do, abhi bhooka lag raha hai"
اس کتے کو بچپن میں ہم نے گود لیا تھا,uss kuttay ko bachpan mein hum ne god liya tha
اس بلی کو پانی دو، ابھی پیاسی لگتی ہے,"iss billi ko pani do, abhi piyasi lagti hai"
اس بلی کو کئی سال پہلے گلی سے اٹھایا تھا,uss billi ko kayi saal pehle gali se uthaya tha
اس گائے کا دودھ نکالو، ابھی صبح ہوئی ہے,"iss gaaye ka doodh nikalo, abhi subah hui hai"
اس گائے کا دودھ کبھی بہت مشہور تھا گاؤں میں,uss gaaye ka doodh kabhi bohat mashhoor tha gaon mein
اس پرندے کو پنجرے میں رکھو، ابھی پکڑا ہے,"iss parinday ko panjray mein rakho, abhi pakra hai"
اس پرندے کو کئی سال پہلے آزاد کیا گیا تھا,uss parinday ko kayi saal pehle azad kiya gaya tha
اس مچھلی کو پانی میں ڈالو، ابھی پکڑی ہے,"iss machli ko pani mein dalo, abhi pakri hai"
اس مچھلی کو برسوں پہلے سمندر سے پکڑا گیا تھا,uss machli ko barson pehle samandar se pakra gaya tha
اس بکری کا دودھ نکالو، ابھی باندھی ہے,"iss bakri ka doodh nikalo, abhi bandhi hai"
اس بکری کو نانا نے کئی سال پہلے پالا تھا,uss bakri ko nana ne kayi saal pehle pala tha
اس چاند کو دیکھو، ابھی پوری روشنی میں ہے,"iss chand ko dekho, abhi poori roshni mein hai"
اس چاند کے نیچے کبھی ہم بیٹھا کرتے تھے بچپن میں,uss chand ke neechay kabhi hum baitha karte thay bachpan mein
اس سورج کی روشنی میں بیٹھو، ابھی نکلا ہے,"iss suraj ki roshni mein baitho, abhi nikla hai"
اس سورج کی تپش یاد ہے جو پچھلی گرمیوں میں محسوس ہوئی تھی,uss suraj ki tapish yaad hai jo pichli garmiyon mein mehsoos hui thi
اس بادل کو دیکھو، ابھی سامنے چھایا ہوا ہے,"iss baadal ko dekho, abhi samne chhaya hua hai"
اس بارش میں بھیگو نہیں، ابھی شروع ہوئی ہے,"iss barish mein bheego nahi, abhi shuru hui hai"
اس بارش نے کئی سال پہلے پورا شہر ڈبو دیا تھا,uss barish ne kayi saal pehle poora shehar dubo diya tha
اس ہوا میں باہر مت نکلو، ابھی تیز چل رہی ہے,"iss hawa mein bahar mat niklo, abhi tez chal rahi hai"
اس ہوا نے کبھی پورا گاؤں اڑا دیا تھا برسوں پہلے,uss hawa ne kabhi poora gaon ura diya tha barson pehle
اس سمندر میں نہاؤ، ابھی پانی صاف ہے,"iss samandar mein nahao, abhi pani saaf hai"
اس سمندر میں کبھی ایک جہاز ڈوب گیا تھا,uss samandar mein kabhi aik jahaz doob gaya tha
اس جھیل کے کنارے بیٹھو، ابھی منظر خوبصورت ہے,"iss jheel ke kinaray baitho, abhi manzar khoobsoorat hai"
اس جھیل کے کنارے کبھی ہم بچپن میں کھیلا کرتے تھے,uss jheel ke kinaray kabhi hum bachpan mein khela karte thay
اس جھرنے کے پاس جاؤ، ابھی پانی تیز بہہ رہا ہے,"iss jharnay ke paas jao, abhi pani tez beh raha hai"
اس جھرنے کے پاس کبھی ایک حادثہ پیش آیا تھا,uss jharnay ke paas kabhi aik hadsa pesh aaya tha
اس راز کو چھپاؤ، ابھی پتا چلا ہے مجھے,"iss raaz ko chhupao, abhi pata chala hai mujhe"
اس راز کو برسوں سے کسی نے نہیں کھولا تھا,uss raaz ko barson se kisi ne nahi khola tha
اس خواب کو یاد رکھو، ابھی دیکھا ہے رات کو,"iss khwab ko yaad rakho, abhi dekha hai raat ko"
اس خواب کو بچپن میں اکثر دیکھا کرتا تھا,uss khwab ko bachpan mein aksar dekha karta tha
اس امید پر جیو، ابھی پیدا ہوئی ہے دل میں,"iss umeed par jeeo, abhi paida hui hai dil mein"
اس امید کو برسوں پہلے چھوڑ دیا تھا,uss umeed ko barson pehle chhor diya tha
اس دوستی کو نبھاؤ، ابھی شروع ہوئی ہے,"iss dosti ko nibhao, abhi shuru hui hai"
اس دوستی کو برسوں پہلے توڑ دیا گیا تھا,uss dosti ko barson pehle tor diya gaya tha
اس دشمنی کو ختم کرو، ابھی بڑھ رہی ہے,"iss dushmani ko khatam karo, abhi barh rahi hai"
اس دشمنی کی جڑیں برسوں پرانی تھیں دونوں خاندانوں میں,uss dushmani ki jarein barson purani thein donon khandanon mein
اس محبت کا اظہار کرو، ابھی موقع ہے سامنے,"iss mohabbat ka izhar karo, abhi mauqa hai samne"
اس محبت کی کہانی برسوں پہلے گاؤں میں مشہور تھی,uss mohabbat ki kahani barson pehle gaon mein mashhoor thi
اس ڈاکٹر سے ملو، ابھی کلینک میں موجود ہے,"iss doctor se milo, abhi clinic mein mojood hai"
اس ڈاکٹر سے کئی سال پہلے علاج کرایا تھا,uss doctor se kayi saal pehle ilaj karaya tha
اس نرس کو بلاؤ، ابھی وارڈ میں ہے,"iss nurse ko bulao, abhi ward mein hai"
اس نرس نے برسوں پہلے میری دیکھ بھال کی تھی,uss nurse ne barson pehle meri dekh bhaal ki thi
اس پائلٹ سے بات کرو، ابھی کاک پٹ میں بیٹھا ہے,"iss pilot se baat karo, abhi cockpit mein baitha hai"
اس پائلٹ نے کئی سال پہلے یہ پرواز اڑائی تھی,uss pilot ne kayi saal pehle yeh parwaz urai thi
اس مصور سے تصویر بنواؤ، ابھی اسٹوڈیو میں ہے,"iss musawwir se tasveer banwao, abhi studio mein hai"
اس مصور نے برسوں پہلے یہ شاہکار بنایا تھا,uss musawwir ne barson pehle yeh shahkar banaya tha
اس گلوکار کو سنو، ابھی اسٹیج پر گا رہا ہے,"iss gulukar ko suno, abhi stage par ga raha hai"
اس گلوکار کے گانے برسوں پہلے بہت مشہور تھے,uss gulukar ke ganay barson pehle bohat mashhoor thay
اس رقاصہ کو دیکھو، ابھی محفل میں ناچ رہی ہے,"iss raqasa ko dekho, abhi mehfil mein naach rahi hai"
اس رقاصہ نے برسوں پہلے یہ فن سیکھا تھا,uss raqasa ne barson pehle yeh fan seekha tha
اس کسان سے سبزی لو، ابھی کھیت میں موجود ہے,"iss kisan se sabzi lo, abhi khet mein mojood hai"
اس کسان نے برسوں پہلے یہ زمین خریدی تھی,uss kisan ne barson pehle yeh zameen khareedi thi
اس ماہی گیر سے مچھلی لو، ابھی ساحل پر کھڑا ہے,"iss mahi geer se machli lo, abhi sahil par khara hai"
اس ماہی گیر نے کئی سال پہلے یہ کشتی بنوائی تھی,uss mahi geer ne kayi saal pehle yeh kashti banwai thi
اس سپاہی کو سلام کرو، ابھی گیٹ پر کھڑا ہے,"iss sipahi ko salam karo, abhi gate par khara hai"
اس سپاہی نے برسوں پہلے جنگ میں حصہ لیا تھا,uss sipahi ne barson pehle jang mein hissa liya tha
اس پولیس والے سے رپورٹ کراؤ، ابھی موجود ہے یہاں,"iss police walay se report karao, abhi mojood hai yahan"
اس پولیس والے نے برسوں پہلے یہ کیس سنبھالا تھا,uss police walay ne barson pehle yeh case sambhala tha
اس بادشاہ کے دربار میں جاؤ، ابھی حکم سن رہا ہے,"iss badshah ke darbar mein jao, abhi hukam sun raha hai"
اس بادشاہ کے دربار میں صدیوں پہلے شاعر آیا کرتے تھے,uss badshah ke darbar mein sadiyon pehle shair aaya karte thay
اس ملکہ سے ملاقات کرو، ابھی محل میں موجود ہے,"iss malika se mulaqat karo, abhi mahal mein mojood hai"
اس ملکہ کا دور کئی صدیاں پہلے گزر چکا تھا,uss malika ka daur kayi sadiyan pehle guzar chuka tha
اس وزیر سے درخواست کرو، ابھی دفتر میں موجود ہے,"iss wazeer se darkhwast karo, abhi daftar mein mojood hai"
اس وزیر نے کئی سال پہلے یہ منصوبہ شروع کیا تھا,uss wazeer ne kayi saal pehle yeh mansooba shuru kiya tha
اس صدر کا خطاب سنو، ابھی نشر ہو رہا ہے,"iss sadar ka khitab suno, abhi nashar ho raha hai"
اس صدر کے دور میں کبھی بہت ترقی ہوئی تھی,uss sadar ke daur mein kabhi bohat taraqqi hui thi
اس جج کے سامنے پیش ہو، ابھی عدالت میں بیٹھا ہے,"iss judge ke samne pesh ho, abhi adalat mein baitha hai"
اس جج نے برسوں پہلے یہ مشہور کیس سنا تھا,uss judge ne barson pehle yeh mashhoor case suna tha
اس وکیل کو فون کرو، ابھی دفتر میں موجود ہے,"iss wakeel ko phone karo, abhi daftar mein mojood hai"
اس وکیل نے برسوں پہلے یہ مقدمہ لڑا تھا,uss wakeel ne barson pehle yeh muqadma lara tha
اس قبیلے سے ملو، ابھی یہاں کیمپ لگائے بیٹھا ہے,"iss qabeelay se milo, abhi yahan camp lagaye baitha hai"
اس قبیلے کی روایات صدیوں پرانی تھیں,uss qabeelay ki riwayat sadiyon purani thein
اس خاندان سے ملو، ابھی پڑوس میں رہنے آیا ہے,"iss khandan se milo, abhi parosi mein rehnay aaya hai"
اس خاندان کی کہانی برسوں پہلے گاؤں میں مشہور تھی,uss khandan ki kahani barson pehle gaon mein mashhoor thi
اس نسل کے لوگوں سے سیکھو، ابھی موجود ہیں ہمارے درمیان,"iss nasal ke logon se seekho, abhi mojood hain hamaray darmiyan"
اس نسل کے لوگ صدیوں پہلے اس علاقے میں آباد تھے,uss nasal ke log sadiyon pehle iss ilaqay mein abaad thay
اس فوج کو دیکھو، ابھی میدان میں صف بستہ ہے,"iss fauj ko dekho, abhi medan mein saf basta hai"
اس فوج نے صدیوں پہلے یہ شہر فتح کیا تھا,uss fauj ne sadiyon pehle yeh shehar fatah kiya tha
اس جنگ کا نتیجہ دیکھو، ابھی اعلان ہوا ہے,"iss jang ka nateeja dekho, abhi elaan hua hai"
اس جنگ کا نتیجہ صدیوں تک یاد رکھا گیا,uss jang ka nateeja sadiyon tak yaad rakha gaya
اس معاہدے کی شرائط پڑھو، ابھی سامنے رکھی ہیں,"iss muahiday ki sharait parho, abhi samne rakhi hain"
اس معاہدے کی شرائط برسوں پہلے طے ہوئی تھیں,uss muahiday ki sharait barson pehle tay hui thein
اس مذاکرات میں شرکت کرو، ابھی شروع ہوئے ہیں,"iss muzakraat mein shirkat karo, abhi shuru hue hain"
اس مذاکرات کا نتیجہ برسوں پہلے سامنے آیا تھا,uss muzakraat ka nateeja barson pehle samne aaya tha
اس سرحد پر جاؤ، ابھی فوج تعینات ہے,"iss sarhad par jao, abhi fauj tainat hai"
اس سرحد پر کبھی شدید لڑائی ہوئی تھی برسوں پہلے,uss sarhad par kabhi shadeed larai hui thi barson pehle
اس شہر میں رہو، ابھی نیا گھر لیا ہے,"iss shehar mein raho, abhi naya ghar liya hai"
اس شہر میں دادا کا بچپن گزرا تھا,uss shehar mein dada ka bachpan guzra tha
اس گاؤں میں جاؤ، ابھی میلہ لگا ہے,"iss gaon mein jao, abhi mela laga hai"
اس گاؤں میں کبھی ہمارا آبائی گھر ہوا کرتا تھا,uss gaon mein kabhi hamara aabai ghar hua karta tha
اس محلے میں بچپن کی بہت یادیں بسی ہیں,uss mohallay mein bachpan ki bohat yaadein basi hain
اس گلی سے گزرو، ابھی صاف کی گئی ہے,"iss gali se guzro, abhi saaf ki gayi hai"
اس گلی میں برسوں پہلے ایک بازار ہوا کرتا تھا,uss gali mein barson pehle aik bazar hua karta tha
اس چوک پر کھڑے ہو، ابھی بتی سرخ ہے,"iss chowk par kharay ho, abhi batti surkh hai"
اس چوک پر کبھی ایک بڑا جلوس نکلا تھا,uss chowk par kabhi aik bara juloos nikla tha
اس اسٹیشن پر اترو، ابھی ٹرین رک گئی ہے,"iss station par utro, abhi train ruk gayi hai"
اس اسٹیشن پر برسوں پہلے ایک حادثہ ہوا تھا,uss station par barson pehle aik hadsa hua tha
اس ائیرپورٹ سے کئی سال پہلے میں نے پہلی پرواز کی تھی,uss airport se kayi saal pehle main ne pehli parwaz ki thi
اس بندرگاہ سے برسوں پہلے تجارت ہوا کرتی تھی,uss bandargah se barson pehle tijarat hua karti thi
اس میدان جنگ میں جاؤ، ابھی فوجیں جمع ہیں,"iss maidan-e-jang mein jao, abhi faujein jama hain"
اس میدان جنگ میں صدیوں پہلے بڑی لڑائی ہوئی تھی,uss maidan-e-jang mein sadiyon pehle bari larai hui thi
اس کارخانے میں کام کرو، ابھی نئی شفٹ شروع ہوئی ہے,"iss karkhanay mein kaam karo, abhi nai shift shuru hui hai"
اس کارخانے میں برسوں پہلے بہت مزدور کام کرتے تھے,uss karkhanay mein barson pehle bohat mazdoor kaam karte thay
اس لیب میں تجربہ کرو، ابھی سامان تیار ہے,"iss lab mein tajurba karo, abhi saman tayyar hai"
اس لیب میں برسوں پہلے ایک بڑی دریافت ہوئی تھی,uss lab mein barson pehle aik bari daryaft hui thi
اس لائبریری میں پڑھو، ابھی نئی کتابیں آئی ہیں,"iss library mein parho, abhi nai kitabein aai hain"
اس لائبریری میں دادا کئی گھنٹے گزارا کرتے تھے,uss library mein dada kayi ghantay guzara karte thay
اس عجائب گھر میں جاؤ، ابھی نمائش لگی ہے,"iss ajaib ghar mein jao, abhi numaish lagi hai"
اس عجائب گھر میں صدیوں پرانی چیزیں محفوظ تھیں,uss ajaib ghar mein sadiyon purani cheezein mehfooz thein
اس باورچی خانے میں کھانا پکاؤ، ابھی صاف ہوا ہے,"iss bawarchi khanay mein khana pakao, abhi saaf hua hai"
اس باورچی خانے میں دادی ساری زندگی کھانا پکاتی رہیں,uss bawarchi khanay mein dadi sari zindagi khana pakati rahein
اس صحن میں بیٹھو، ابھی جھاڑو دی گئی ہے,"iss sehan mein baitho, abhi jhaaru di gayi hai"
اس صحن میں بچپن کی بہت سی یادیں بسی ہیں,uss sehan mein bachpan ki bohat si yaadein basi hain
اس چھت پر چڑھو، ابھی منظر صاف ہے,"iss chhat par charho, abhi manzar saaf hai"
اس چھت پر کبھی پرندے گھونسلہ بنایا کرتے تھے,uss chhat par kabhi parinday ghonsla banaya karte thay
اس برآمدے میں بیٹھو، ابھی دھوپ پڑ رہی ہے,"iss baramday mein baitho, abhi dhoop par rahi hai"
اس برآمدے میں ماضی میں بڑی محفلیں سجا کرتی تھیں,uss baramday mein mazi mein bari mehfilein saja karti thein
اس چبوترے پر بیٹھو، ابھی صاف کیا گیا ہے,"iss chabootray par baitho, abhi saaf kiya gaya hai"
اس چبوترے پر صدیوں سے پنچایت لگا کرتی تھی,uss chabootray par sadiyon se panchayat laga karti thi
